Event Name,Event Type,Date Range,System Assigned Label
Ciara,Storm (Storm/Wind),2020-02-08 -> 2020-02-09,STORM_EVENT
Xaver,Storm (Surge/Wave),2013-12-05 -> 2013-12-06,STORM_EVENT
Dennis,Storm (Flood/Rain),2020-02-15 -> 2020-02-16,STORM_EVENT
Tini,Storm (Storm/Wind),2014-02-12 -> 2014-02-12,STORM_EVENT
Dirk,Storm (Storm/Wind),2013-12-23 -> 2013-12-24,STORM_EVENT
Eunice,Storm (Storm/Wind),2022-02-18 -> 2022-02-18,STORM_EVENT
Eunice,Storm (Storm/Wind),2022-02-18 -> 2022-02-19,STORM_EVENT
Andrea,Storm (Storm/Wind),2012-01-05 -> 2012-01-05,STORM_EVENT
Bernd,Storm (Storm/Wind),2013-12-18 -> 2013-12-19,STORM_EVENT
Erik,Storm (Storm/Wind),2019-02-08 -> 2019-02-09,STORM_EVENT
Freya,Storm (Storm/Wind),2019-03-03 -> 2019-03-04,STORM_EVENT
Doris,Storm (Storm/Wind),2017-02-23 -> 2017-02-23,STORM_EVENT
Niklas,Storm (Storm/Wind),2015-03-31 -> 2015-04-01,STORM_EVENT
Mike,Storm (Storm/Wind),2015-03-29 -> 2015-03-31,STORM_EVENT
Aiden,Storm (Storm/Wind),2020-10-31 -> 2020-11-01,STORM_EVENT
Gareth,Storm (Storm/Wind),2019-03-12 -> 2019-03-13,STORM_EVENT
Felix,Storm (Storm/Wind),2015-01-09 -> 2015-01-10,STORM_EVENT
Ulli,Storm (Storm/Wind),2012-01-03 -> 2012-01-03,STORM_EVENT
Diana,Storm (Storm/Wind),2018-11-28 -> 2018-11-29,STORM_EVENT
Ali,Storm (Storm/Wind),2018-09-19 -> 2018-09-19,STORM_EVENT
Erich,Storm (Storm/Wind),2013-12-27 -> 2013-12-27,STORM_EVENT
Eleanor,Storm (Storm/Wind),2018-01-02 -> 2018-01-03,STORM_EVENT
Jonas,Storm (Storm/Wind),2016-01-26 -> 2016-01-27,STORM_EVENT
Brendan,Storm (Storm/Wind),2020-01-13 -> 2020-01-14,STORM_EVENT
Nils,Storm (Storm/Wind),2015-11-20 -> 2015-11-21,STORM_EVENT
Jorge,Storm (Flood/Rain),2020-02-28 -> 2020-03-01,STORM_EVENT
Georgina,Storm (Storm/Wind),2018-01-24 -> 2018-01-24,STORM_EVENT
Ulla,Storm (Storm/Wind),2014-02-14 -> 2014-02-15,STORM_EVENT
Malik,Storm (Storm/Wind),2022-01-29 -> 2022-01-30,STORM_EVENT
Frank,Storm (Flood/Rain),2015-12-29 -> 2015-12-30,STORM_EVENT
Bronagh,Storm (Storm/Wind),2018-09-20 -> 2018-09-21,STORM_EVENT
Franklin,Storm (Surge/Wave),2022-02-20 -> 2022-02-21,STORM_EVENT
Dudley,Storm (Storm/Wind),2022-02-16 -> 2022-02-17,STORM_EVENT
Eckhard,Storm (Storm/Wind),2015-11-28 -> 2015-11-29,STORM_EVENT
Clodagh,Storm (Storm/Wind),2015-11-29 -> 2015-11-29,STORM_EVENT
Nadja,Storm (Surge/Wave),2014-01-31 -> 2014-02-01,STORM_EVENT
Brigid,Storm (Storm/Wind),2014-02-01 -> 2014-02-02,STORM_EVENT
Petra,Storm (Storm/Wind),2014-02-04 -> 2014-02-05,STORM_EVENT
Bawbag,Storm (Storm/Wind),2011-12-08 -> 2011-12-08,STORM_EVENT
