Event Name,Event Type,Date Range,System Assigned Label
Doris,Storm (Storm/Wind),2017-02-23 -> 2017-02-23,STORM_EVENT
Arwen,Storm (Storm/Wind),2021-11-26 -> 2021-11-27,STORM_EVENT
Ciara,Storm (Storm/Wind),2020-02-08 -> 2020-02-09,STORM_EVENT
David (Friederike),Storm (Storm/Wind),2018-01-18 -> 2018-01-18,STORM_EVENT
Freya,Storm (Storm/Wind),2019-03-03 -> 2019-03-04,STORM_EVENT
Tini,Storm (Storm/Wind),2014-02-12 -> 2014-02-12,STORM_EVENT
Barney,Storm (Storm/Wind),2015-11-17 -> 2015-11-18,STORM_EVENT
Gareth,Storm (Storm/Wind),2019-03-12 -> 2019-03-13,STORM_EVENT
Clodagh,Storm (Storm/Wind),2015-11-29 -> 2015-11-29,STORM_EVENT
Eckhard,Storm (Storm/Wind),2015-11-28 -> 2015-11-29,STORM_EVENT
Dennis,Storm (Flood/Rain),2020-02-15 -> 2020-02-16,STORM_EVENT
Erik,Storm (Storm/Wind),2019-02-08 -> 2019-02-09,STORM_EVENT
Xaver (Dai hong thuy),Storm (Surge/Wave),2013-12-05 -> 2013-12-06,STORM_EVENT
Andrea,Storm (Storm/Wind),2012-01-05 -> 2012-01-05,STORM_EVENT
Hannah,Storm (Storm/Wind),2019-04-26 -> 2019-04-27,STORM_EVENT
Bronagh,Storm (Storm/Wind),2018-09-20 -> 2018-09-21,STORM_EVENT
Bernd,Storm (Storm/Wind),2013-12-18 -> 2013-12-19,STORM_EVENT
Gonzalo (Ex-Hurricane),Storm (Storm/Wind),2014-10-21 -> 2014-10-21,STORM_EVENT
Aiden,Storm (Storm/Wind),2020-10-31 -> 2020-11-01,STORM_EVENT
Dirk,Storm (Storm/Wind),2013-12-23 -> 2013-12-24,STORM_EVENT
Mike,Storm (Storm/Wind),2015-03-29 -> 2015-03-31,STORM_EVENT
Niklas,Storm (Storm/Wind),2015-03-31 -> 2015-04-01,STORM_EVENT
Burglind (Eleanor),Storm (Storm/Wind),2018-01-02 -> 2018-01-03,STORM_EVENT
Ulli,Storm (Storm/Wind),2012-01-03 -> 2012-01-03,STORM_EVENT
Georgina,Storm (Storm/Wind),2018-01-24 -> 2018-01-24,STORM_EVENT
Hervé,Storm (Storm/Wind),2020-02-03 -> 2020-02-04,STORM_EVENT
Francis,Storm (Storm/Wind),2020-08-25 -> 2020-08-26,STORM_EVENT
Deirdre,Storm (Storm/Wind),2018-12-15 -> 2018-12-16,STORM_EVENT
Felix,Storm (Storm/Wind),2015-01-09 -> 2015-01-10,STORM_EVENT
Jorge,Storm (Flood/Rain),2020-02-28 -> 2020-03-01,STORM_EVENT
Bawbag (Friedhelm),Storm (Storm/Wind),2011-12-08 -> 2011-12-08,STORM_EVENT
Jake,Storm (Storm/Wind),2016-03-02 -> 2016-03-02,STORM_EVENT
Gertrude,Storm (Storm/Wind),2016-01-29 -> 2016-01-29,STORM_EVENT
Diana,Storm (Storm/Wind),2018-11-28 -> 2018-11-29,STORM_EVENT
Brian,Storm (Storm/Wind),2017-10-21 -> 2017-10-21,STORM_EVENT
Brendan,Storm (Storm/Wind),2020-01-13 -> 2020-01-14,POTENTIAL_HAZARD
Eugen,Storm (Storm/Wind),2021-05-04 -> 2021-05-05,POTENTIAL_HAZARD
Yvette,Storm (Storm/Wind),2014-02-13 -> 2014-02-14,POTENTIAL_HAZARD
Ulla,Storm (Storm/Wind),2014-02-14 -> 2014-02-15,POTENTIAL_HAZARD
Erich,Storm (Storm/Wind),2013-12-27 -> 2013-12-27,POTENTIAL_HAZARD
Petra,Storm (Storm/Wind),2014-02-04 -> 2014-02-05,POTENTIAL_HAZARD
Ophelia (Ex-Hurricane),Storm (Storm/Wind),2017-10-16 -> 2017-10-17,POTENTIAL_HAZARD
Atiyah,Storm (Storm/Wind),2019-12-08 -> 2019-12-09,POTENTIAL_HAZARD
Robert,Storm (Storm/Wind),2011-12-27 -> 2011-12-28,POTENTIAL_HAZARD
Barra,Storm (Storm/Wind),2021-12-07 -> 2021-12-08,POTENTIAL_HAZARD
Gunter 2015,Storm (Storm/Wind),2015-01-14 -> 2015-01-15,POTENTIAL_HAZARD
Callum,Storm (Storm/Wind),2018-10-12 -> 2018-10-13,POTENTIAL_HAZARD
Hector,Storm (Storm/Wind),2018-06-14 -> 2018-06-14,POTENTIAL_HAZARD
Bella,Storm (Storm/Wind),2020-12-26 -> 2020-12-27,POTENTIAL_HAZARD
Ali,Storm (Storm/Wind),2018-09-19 -> 2018-09-19,POTENTIAL_HAZARD
Aurore,Storm (Storm/Wind),2021-10-20 -> 2021-10-21,POTENTIAL_HAZARD
Jonas,Storm (Storm/Wind),2016-01-26 -> 2016-01-27,POTENTIAL_HAZARD
Caroline,Storm (Storm/Wind),2017-12-07 -> 2017-12-08,POTENTIAL_HAZARD
Nils,Storm (Storm/Wind),2015-11-20 -> 2015-11-21,POTENTIAL_HAZARD
Barbara,Storm (Storm/Wind),2016-12-23 -> 2016-12-24,POTENTIAL_HAZARD
Beast from the East,Snow Storm (Snow/Freeze),2018-02-27 -> 2018-03-04,POTENTIAL_HAZARD
Desmond,Storm (Flood/Rain),2015-12-05 -> 2015-12-06,POTENTIAL_HAZARD
