Event Name,Event Type,Date Range,System Assigned Label
Gerrit,Storm (Flood/Rain),2023-12-27 -> 2023-12-28,STORM_EVENT
Pia,Storm (Storm/Wind),2023-12-21 -> 2023-12-21,STORM_EVENT
Fergus,Storm (Flood/Rain),2023-12-10 -> 2023-12-10,STORM_EVENT
Elin,Storm (Storm/Wind),2023-12-09 -> 2023-12-09,NORMAL
Debi,Storm (Storm/Wind),2023-11-13 -> 2023-11-13,STORM_EVENT
Ciaran,Storm (Flood/Rain),2023-11-01 -> 2023-11-02,POTENTIAL_HAZARD
Babet,Storm (Flood/Rain),2023-10-18 -> 2023-10-21,STORM_EVENT
Agnes,Storm (Storm/Wind),2023-09-27 -> 2023-09-28,POTENTIAL_HAZARD
Otto,Storm (Storm/Wind),2023-02-17 -> 2023-02-17,STORM_EVENT
Franklin,Storm (Surge/Wave),2022-02-20 -> 2022-02-21,STORM_EVENT
Eunice,Storm (Storm/Wind),2022-02-18 -> 2022-02-18,STORM_EVENT
Dudley,Storm (Storm/Wind),2022-02-16 -> 2022-02-17,STORM_EVENT
Malik,Storm (Storm/Wind),2022-01-29 -> 2022-01-30,STORM_EVENT
Corrie,Storm (Storm/Wind),2022-01-30 -> 2022-01-31,STORM_EVENT
Barra,Storm (Storm/Wind),2021-12-07 -> 2021-12-08,STORM_EVENT
Arwen,Storm (Storm/Wind),2021-11-26 -> 2021-11-27,STORM_EVENT
Darcy,Storm (Snow/Freeze),2021-02-07 -> 2021-02-13,POTENTIAL_HAZARD
Christoph,Storm (Flood/Rain),2021-01-19 -> 2021-01-21,POTENTIAL_HAZARD
Bella,Storm (Storm/Wind),2020-12-26 -> 2020-12-27,STORM_EVENT
Aiden,Storm (Storm/Wind),2020-10-31 -> 2020-11-01,STORM_EVENT
Alex,Storm (Flood/Rain),2020-10-02 -> 2020-10-03,NORMAL
Francis,Storm (Storm/Wind),2020-08-25 -> 2020-08-26,STORM_EVENT
Jorge,Storm (Flood/Rain),2020-02-28 -> 2020-03-01,STORM_EVENT
Dennis,Storm (Flood/Rain),2020-02-15 -> 2020-02-16,STORM_EVENT
Ciara,Storm (Storm/Wind),2020-02-08 -> 2020-02-09,STORM_EVENT
Brendan,Storm (Storm/Wind),2020-01-13 -> 2020-01-14,STORM_EVENT
Atiyah,Storm (Storm/Wind),2019-12-08 -> 2019-12-09,STORM_EVENT
Gareth,Storm (Storm/Wind),2019-03-12 -> 2019-03-13,STORM_EVENT
Freya,Storm (Storm/Wind),2019-03-03 -> 2019-03-04,POTENTIAL_HAZARD
Erik,Storm (Storm/Wind),2019-02-08 -> 2019-02-09,STORM_EVENT
Deirdre,Storm (Storm/Wind),2018-12-15 -> 2018-12-16,STORM_EVENT
Diana,Storm (Storm/Wind),2018-11-28 -> 2018-11-29,STORM_EVENT
Callum,Storm (Storm/Wind),2018-10-12 -> 2018-10-13,STORM_EVENT
Bronagh,Storm (Storm/Wind),2018-09-20 -> 2018-09-21,STORM_EVENT
Ali,Storm (Storm/Wind),2018-09-19 -> 2018-09-19,STORM_EVENT
Hector,Storm (Storm/Wind),2018-06-14 -> 2018-06-14,STORM_EVENT
Beast from the East,Snow Storm (Snow/Freeze),2018-02-27 -> 2018-03-04,STORM_EVENT
Caroline,Storm (Storm/Wind),2017-12-07 -> 2017-12-08,STORM_EVENT
Brian,Storm (Storm/Wind),2017-10-21 -> 2017-10-21,POTENTIAL_HAZARD
Ophelia,Storm (Storm/Wind),2017-10-16 -> 2017-10-17,STORM_EVENT
Aileen,Storm (Storm/Wind),2017-09-12 -> 2017-09-13,POTENTIAL_HAZARD
Ewan,Storm (Storm/Wind),2017-02-26 -> 2017-02-26,STORM_EVENT
Doris,Storm (Storm/Wind),2017-02-23 -> 2017-02-23,STORM_EVENT
Conor,Storm (Storm/Wind),2016-12-25 -> 2016-12-26,POTENTIAL_HAZARD
Barbara,Storm (Storm/Wind),2016-12-23 -> 2016-12-24,POTENTIAL_HAZARD
Jake,Storm (Storm/Wind),2016-03-02 -> 2016-03-02,POTENTIAL_HAZARD
Imogen,Storm (Storm/Wind),2016-02-08 -> 2016-02-08,POTENTIAL_HAZARD
Henry,Storm (Storm/Wind),2016-02-01 -> 2016-02-02,POTENTIAL_HAZARD
Gertrude,Storm (Storm/Wind),2016-01-29 -> 2016-01-29,STORM_EVENT
Jonas,Storm (Storm/Wind),2016-01-26 -> 2016-01-27,STORM_EVENT
Frank,Storm (Flood/Rain),2015-12-29 -> 2015-12-30,STORM_EVENT
Eva,Storm (Flood/Rain),2015-12-24 -> 2015-12-24,POTENTIAL_HAZARD
Desmond,Storm (Flood/Rain),2015-12-05 -> 2015-12-06,POTENTIAL_HAZARD
Clodagh,Storm (Storm/Wind),2015-11-29 -> 2015-11-29,STORM_EVENT
Barney,Storm (Storm/Wind),2015-11-17 -> 2015-11-18,POTENTIAL_HAZARD
Abigail,Storm (Storm/Wind),2015-11-12 -> 2015-11-13,POTENTIAL_HAZARD
Gonzalo,Storm (Storm/Wind),2014-10-21 -> 2014-10-21,POTENTIAL_HAZARD
Bertha,Storm (Flood/Rain),2014-08-10 -> 2014-08-11,POTENTIAL_HAZARD
Ruth,Storm (Storm/Wind),2014-02-08 -> 2014-02-09,POTENTIAL_HAZARD
Petra,Storm (Storm/Wind),2014-02-04 -> 2014-02-05,STORM_EVENT
Nadja,Storm (Surge/Wave),2014-01-31 -> 2014-02-01,STORM_EVENT
Brigid,Storm (Storm/Wind),2014-02-01 -> 2014-02-02,STORM_EVENT
Tini,Storm (Storm/Wind),2014-02-12 -> 2014-02-12,STORM_EVENT
